1	Долинський Денис Валентинович	ГО «Народний люстратор»
2	Староста Іван Іванович	ГО «Правовий захист підприємництва»
3	Бондарчук Ігор Борисович	ГО «Право на допомогу»
4	Сенько Ігор Петрович	ГО «Всеукраїнський центр протидії корупції та сприяння правоохоронним органам «Антикорупційна ініціатива»»
5	Коваленко Олександр Миколайович	ГО «Національне благо України»
6	Гарус Максим Валерійович	ГО «Національне благо України»
7	Хмельницький Богдан Станіславович	ГО «Стоп Корупція»
8	Золотих Дмитро Володимирович	ГО «Стоп Нелегал»
9	Маринушкін Арсен Григорович	ГО «Незалежне антикорупційне бюро України»
10	Дмитрусь Ростислав Миронович	ГО «Всеукраїнське об’єднання «Антикорупційний блокпост»
11	Янченко Галина Ігорівна	ГО «Антикорупційний штаб»
12	Марчук Антон Ярославович	ГО «Антикорупційний штаб»
13	Шелестак Наталія Володимирівна	ГО «Варта 700»
14	Маштабей Сергій Валентинович	ГО «Трансперенсі Інтернешнл Україна»
15	Саранов Сергій Георгійович	ГО «Міжнародна спеціальна антикорупційна колегія»
16	Надіч Нонна Дидронівна	ГО «Українська правозахисна асоціація ""Закон та справедливість""»
17	Романюков Артем Валерійович	ГО «Платформа Громадський контроль»
18	Сердюк Наталія Аркадіївна	ГО «Асоціація українських правників»
19	Хасапов Олександр Дмитрович	ВГО «Національний координаційний Комітет сприяння протидії корупції»
20	Павленко Михайло Анатолійович	ГО «Міжрегіональний Народний контроль»
21	Варишко Петро Васильович	ГО «Асоціація адвокатів України»
22	Гуменюк Олександр Володимирович	ГО «Слідство.Інфо»
23	Боришкевич Олександр Васильович	ГО «Народний Рух України»
24	Гришин Іван Євгенійович	ГО «Народний Рух України»
25	Овчаров Денис Генадійович	ГО «Фундація 101»
26	Проконова Ксенія Володимирівна	ГО «Фундація 101»
27	Калачов Денис Андрійович	ГО «Асоціація Народних Волонтерів України»
28	Олійник Василь Богданович	ГО «Без ПАРКАНІВ»
29	Капустян Сергій Олександрович	ГО «Без ПАРКАНІВ»
30	Кухар Марат Валерійович	ГО «Правда-Сила»
31	Лемєнов Олександр Валерійович	ГО «Центр локального самоврядування»
